CAT	SQL 型識別子	標準的な SQL データ	一般的な型の説明
1	SQL_BIT	BIT	1ビットのバイナリデータ。8
2	SQL_TINYINT	TINYINT	精度3および小数点以下桁数が0の正確な数値 (符号付き:-128 <= n <= 127、符号なし: 0 <= n <= 255) [3]。
3	SQL_SMALLINT	SMALLINT	精度が5および小数点以下桁数が0の numeric 値 (符号付き:-32768 <= n <= 32767、unsigned: 0 <= n <= 65535) [3]。
3	SQL_INTEGER	INTEGER	有効桁数が10および小数点以下桁数が0の正確な数値 (符号付き:-2 [31] <= n <= 2 [31]-1、符号なし: 0 <= n <= 2 [32]-1) [3]。
4	SQL_BIGINT	bigint	精度が 19 (符号付きの場合) または 20 (符号なしの場合) および小数点以下桁数 0 (符号付きの場合) およびスケール 0 (符号付き:-2 [63] <= n <= 2 [63]-1、符号なし: 0 <= n <= 2 [64]-1) [3]、[9]
5	SQL_REAL	real	バイナリ精度 24 (0 または絶対値が 10 [-38] ~ 10 [38]) の符号付き概数値。
5	SQL_FLOAT	FLOAT (p)	少なくとも p のバイナリ有効桁数を持つ、符号付きの概数型の数値。 (最大有効桁数はドライバーで定義されています)。5/5
5	SQL_DOUBLE	DOUBLE PRECISION	バイナリ精度 53 (0 または絶対値が 10 [-308] ~ 10 [308]) の符号付き概数。数値。
6	SQL_DECIMAL	DECIMAL (p,s)	少なくとも p と scale s の有効桁数を持つ符号付きの正確な数値 。 (最大有効桁数はドライバーで定義されています)。(1 <= p <= 15;s <= p)。4/4
6	SQL_NUMERIC	NUMERIC (p,s)	精度が p で小数点以下桁数が s の符号付きの正確な数値 (1 <= p <= 15;s <= p)。4/4
10	SQL_CHAR	CHAR (n)	固定長文字列の文字列。
10	SQL_VARCHAR	VARCHAR (n)	最大文字列長 n の可変長文字列。
10	SQL_LONGVARCHAR	LONG VARCHAR	可変長文字データ。 最大長は、データソースに依存します。ませ
10	SQL_WCHAR	WCHAR (n)	固定長文字列の Unicode 文字列の長さ n
10	SQL_WVARCHAR	VARWCHAR (n)	最大文字列長を持つ Unicode 可変長文字列 n
10	SQL_WLONGVARCHAR	LONGWVARCHAR	Unicode 可変長文字データ。 最大長はデータソースに依存します
10	SQL_GUID	GUID	固定長 GUID。
20	SQL_TYPE_DATE [6]	DATE	グレゴリオ暦の規則に準拠した年、月、日の各フィールド。 (この付録の後半の「 グレゴリオ暦の制約」を参照してください)。
20	SQL_TYPE_TIME [6]	時間 (p)	時間、分、および秒のフィールド。有効な値は 00 ~ 23 の時間、00 ~ 59 の有効な値、および 00 ~ 61 の秒の有効な値です。 有効桁数 p 秒の有効桁数を示します。
20	SQL_TYPE_TIMESTAMP [6]	タイムスタンプ (p)	日付と時刻のデータ型に対して定義されている有効な値を持つ、年、月、日、時、分、および秒の各フィールド。
20	SQL_TYPE_UTCDATETIME	UTCDATETIME	Year、month、day、hour、minute、second、utchour、utcminute の各フィールド。 Utchour フィールドと utcminute フィールドの精度は1/10 マイクロ秒です。
20	SQL_TYPE_UTCTIME	UTCTIME	Hour、minute、second、utchour、utcminute の各フィールド。 Utchour フィールドと utcminute フィールドの精度は1/10 マイクロ秒です。
20	SQL_INTERVAL_MONTH [7]	間隔月 (p)	2つの日付の間の月数。 p は、間隔の有効桁数です。
20	SQL_INTERVAL_YEAR [7]	間隔の年 (p)	2つの日付間の年数 p は、間隔の有効桁数です。
20	SQL_INTERVAL_YEAR_TO_MONTH [7]	間隔の年 (p) から月	2つの日付間の年と月の数。 p は、間隔の有効桁数です。
20	SQL_INTERVAL_DAY [7]	間隔の日 (p)	2つの日付の間の日数 p は、間隔の有効桁数です。
20	SQL_INTERVAL_HOUR [7]	間隔 (時間) (p)	2つの日付/時刻の間の時間数。 p は、間隔の有効桁数です。
20	SQL_INTERVAL_MINUTE [7]	間隔 (分) (p)	2つの日付/時刻の間の分数 p は、間隔の有効桁数です。
20	SQL_INTERVAL_SECOND [7]	INTERVAL 秒 (p,q)	2つの日付/時刻の間の秒数。 p は間隔の先頭の有効桁数で、 q は間隔の秒の有効桁数です。
20	SQL_INTERVAL_DAY_TO_HOUR [7]	間隔の日 (p) から時間	2つの日付/時刻の間の日数/時間。 p は、間隔の有効桁数です。
20	SQL_INTERVAL_DAY_TO_MINUTE [7]	間隔の日 (p) から分	2つの日付/時刻の間の日数/時間/分 p は、間隔の有効桁数です。
20	SQL_INTERVAL_DAY_TO_SECOND [7]	間隔の日 (p) から秒 (q)	2つの日付/時刻の間の日数/時間/分/秒 p は間隔の先頭の有効桁数で、 q は間隔の秒の有効桁数です。
20	SQL_INTERVAL_HOUR_TO_MINUTE [7]	INTERVAL 時間 (p) から分	2つの日付/時刻の間の時間数/分 p は、間隔の有効桁数です。
20	SQL_INTERVAL_HOUR_TO_SECOND [7]	INTERVAL 時間 (p) から秒 (q)	2つの日付/時刻の間の時間数/分/秒。 p は間隔の先頭の有効桁数で、 q は間隔の秒の有効桁数です。
20	SQL_INTERVAL_MINUTE_TO_SECOND [7]	間隔 (分) (p) から秒 (q)	2つの日付/時刻の間の分数 (秒単位)。 p は間隔の先頭の有効桁数で、 q は間隔の秒の有効桁数です。
30	SQL_BINARY	バイナリ (n)	固定長 n のバイナリデータ。ませ
30	SQL_VARBINARY	VARBINARY (n)	最大長 n の可変長バイナリデータ。 最大値は、ユーザーによって設定されます。ませ
30	SQL_LONGVARBINARY	LONG VARBINARY	可変長バイナリ データ。 最大長は、データソースに依存します。ませ
